コード,銘柄名,業種,市場,株式種類,新NISA成長投資枠
EDUC,エデュケーショナル　デベロップメント,卸売業,NASDAQ,普通株式,〇
EDV,バンガード　超長期米国債　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EDZ,ＤｉｒｅｘｉｏｎデイリーＭＳＣＩ新興国株ベア３倍ＥＴＦ,その他,NYSE_ARCA,ETF,
EE,エクセレレート　エナジー,電気・ガス業,NYSE,普通株式,〇
EEFT,ユーロネット　ワールドワイド,銀行業,NASDAQ,普通株式,〇
EEIQ,エピッククエスト　エデュケーショングループインターナショナル,サービス業,NASDAQ,普通株式,〇
EEM,ｉシェアーズ　ＭＳＣＩ　エマージング　マーケット　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EEMS,ｉシェアーズ　ＭＳＣＩ　エマージングマーケット小型株　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EEX,エメラルド　ホールディング,サービス業,NYSE,普通株式,〇
EFA,ｉシェアーズ　ＭＳＣＩ　ＥＡＦＥ　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EFIV,ステート・ストリート　ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＳＧ　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EFOI,エナジー　フォーカス,電気機器,NASDAQ,普通株式,〇
EFOR,アルファ コンピュート,サービス業,NYSE,普通株式,○
EFSC,エンタープライズ　ファイナンシャル　サービシズ,銀行業,NASDAQ,普通株式,〇
EFX,エキファックス,サービス業,NYSE,普通株式,〇
EFXT,エナーフレックス,機械,NYSE,普通株式,〇
EG,エベレスト　グループ,保険業,NYSE,普通株式,〇
EGAN,イーゲイン,サービス業,NASDAQ,普通株式,〇
EGBN,イーグル　バンコープ,銀行業,NASDAQ,普通株式,〇
EGHT,８ｘ８,サービス業,NASDAQ,普通株式,〇
EGO,エルドラド　ゴールド,鉱業,NYSE,普通株式,〇
EGY,バールコ　エナジー,鉱業,NYSE,普通株式,〇
EH,イーハン　ホールディングス　ＡＤＲ,輸送用機器,NASDAQ,ADR,〇
EHAB,エンハビット,サービス業,NYSE,普通株式,〇
EHC,エンコンパス　ヘルス,サービス業,NYSE,普通株式,〇
EHLD,ユーロホールディングス,海運業,NASDAQ,普通株式,〇
EHTH,ｅヘルス,保険業,NASDAQ,普通株式,〇
EIDO,ｉシェアーズ　ＭＳＣＩ　インドネシア　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EIG,エンプロイヤーズ　ホールディングス,保険業,NYSE,普通株式,〇
EIKN,エイコン　セラピューティクス,医薬品,NASDAQ,普通株式,〇
EIPI,ファーストトラスト　エナジーインカムパートナーズＥＴＦ,その他,NYSE_ARCA,ETF,〇
EIX,エジソン　インターナショナル,電気・ガス業,NYSE,普通株式,〇
EJH,Ｅ－ホーム　ハウスホールド　サービス　ホールディングス,サービス業,NASDAQ,普通株式,〇
EKSO,エクソ　バイオニクス　ホールディングス,機械,NASDAQ,普通株式,〇
EL,エスティ　ローダー　Ａ,化学,NYSE,普通株式,〇
ELA,エンヴェラ,小売業,AMEX,普通株式,〇
ELAB,ＰＭＧＣ　ホールディングス,医薬品,NASDAQ,普通株式,〇
ELAN,エランコ　アニマル　ヘルス,医薬品,NYSE,普通株式,〇
ELD,ウィズダムツリー　新興国　現地通貨建　債券　ファンド,その他,NYSE_ARCA,ETF,
ELDN,エレドン　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
ELF,ｅ．ｌ．ｆ．ビューティー,化学,NYSE,普通株式,〇
ELLO,エロメイ　キャピタル,電気・ガス業,AMEX,普通株式,〇
ELMD,エレクトロメッド,精密機器,AMEX,普通株式,〇
ELPC,パラナ電力ＡＤＲ,電気・ガス業,NYSE,ADR,〇
ELSE,エレクトロ－センサーズ,精密機器,NASDAQ,普通株式,〇
ELTK,エルテック,精密機器,NASDAQ,普通株式,〇
ELTX,エリシオ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ELUT,エルーティア,医薬品,NASDAQ,普通株式,〇
ELV,エレバンス　ヘルス,保険業,NYSE,普通株式,〇
ELVN,エンライヴン　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ELVR,エレブラ　リチウム　リミテッド,鉱業,NASDAQ,ADR,〇
ELWT,エラウィット・コネクション,情報・通信業,NASDAQ,普通株式,〇
EM,スマート　シェア　グローバル　ＡＤＲ,サービス業,NASDAQ,ADR,〇
EMAT,エボリューション　メタルズ　＆　テクノロジーズ,精密機器,NASDAQ,普通株式,〇
EMB,ｉシェアーズＪ．Ｐ．モルガン・米ドル建てＥＭ債券ＥＴＦ,その他,NASDAQ,ETF,
EMBC,エンベクタ,精密機器,NASDAQ,普通株式,〇
EMBD,グローバルＸ　新興国債券　ＥＴＦ,その他,NYSE_ARCA,ETF,
EMBJ,エンブラエル　ＡＤＲ,輸送用機器,NYSE,ADR,〇
EME,エムコア　グループ,建設業,NYSE,普通株式,〇
EML,イースタン,金属製品,NASDAQ,普通株式,〇
EMLC,ヴァンエック　ＪＰモルガン　新興国市場　現地通貨建債券　ＴＦ,その他,NYSE_ARCA,ETF,
EMLP,ファーストトラスト　北米エネルギーインフラファンド,その他,NYSE_ARCA,ETF,〇
EMN,イーストマンケミカル,化学,NYSE,普通株式,〇
EMPD,エンペリー　デジタル,輸送用機器,NASDAQ,普通株式,〇
EMR,エマソン　エレクトリック,電気機器,NYSE,普通株式,〇
ENB,エンブリッジ,倉庫・運輸関連業,NYSE,普通株式,〇
ENGN,エンジーン　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ENIC,エネル　チリ　ＡＤＲ,電気・ガス業,NYSE,ADR,〇
ENLT,エンライト　リニューアブル　エナジー,電気・ガス業,NASDAQ,普通株式,〇
ENLV,エンライベックス,医薬品,NASDAQ,普通株式,〇
ENOV,エノビス,精密機器,NYSE,普通株式,〇
ENPH,エンフェーズ　エナジー,精密機器,NASDAQ,普通株式,〇
ENR,エナジャイザー　ホールディングズ,精密機器,NYSE,普通株式,〇
ENS,エナーシス,精密機器,NYSE,普通株式,〇
ENSC,エンサイス　バイオサイエンシズ,医薬品,NASDAQ,普通株式,〇
ENSG,エンサイン　グループ,サービス業,NASDAQ,普通株式,〇
ENTA,エナンタ　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
ENTG,インテグリス,石油・石炭製品,NASDAQ,普通株式,〇
ENTX,エンテラ　バイオ,医薬品,NASDAQ,普通株式,〇
ENVA,エノバ　インターナショナル,その他金融業,NYSE,普通株式,〇
ENVB,エンベリック　バイオサイエンシズ,医薬品,NASDAQ,普通株式,〇
ENVX,エノビクス,精密機器,NASDAQ,普通株式,〇
EOG,ＥＯＧ　リソーシズ,鉱業,NYSE,普通株式,〇
EOLS,エヴォラス,医薬品,NASDAQ,普通株式,〇
EONR,ＥＯＮリソース,鉱業,AMEX,普通株式,〇
EOSE,イオス　エナジー　エンタープライゼス,精密機器,NASDAQ,普通株式,〇
EP,エンパイア　ペトロリアム,鉱業,AMEX,普通株式,〇
EPAC,エナパック　ツール　グループ,機械,NYSE,普通株式,〇
EPAM,ＥＰＡＭ　システムズ,サービス業,NYSE,普通株式,〇
EPC,エッジウェル　パーソナル　ケア,化学,NYSE,普通株式,〇
EPHE,ｉシェアーズ　ＭＳＣＩ　フィリピン　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EPI,ウィズダムツリー　インド株　収益　ファンド,その他,NYSE_ARCA,ETF,〇
EPM,エボリューション　ペトロリアム,鉱業,AMEX,普通株式,〇
EPOL,ｉシェアーズ　ＭＳＣＩ　ポーランド　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EPOW,Ｅパワー,サービス業,NASDAQ,普通株式,〇
EPP,ｉシェアーズ　ＭＳＣＩ　パシフィック　（除く日本）　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EPSN,イプシロン　エナジー,鉱業,NASDAQ,普通株式,〇
EQ,エクイリアム,医薬品,NASDAQ,普通株式,〇
EQBK,エクイティー　バンクシェアーズ,銀行業,NYSE,普通株式,〇
EQH,エクイタブル　ホールディングス,保険業,NYSE,普通株式,〇
EQNR,エクイノール　ＡＤＲ,石油・石炭製品,NYSE,ADR,〇
EQPT,エクイップメントシェア,機械,NASDAQ,普通株式,〇
EQT,ＥＱＴ,鉱業,NYSE,普通株式,〇
EQX,エキノックス・ゴールド・コープ,鉱業,AMEX,普通株式,〇
ERAS,イレースカ,医薬品,NASDAQ,普通株式,〇
ERIC,テレフォナクティーボラーゲ　ＬＭ　エリクソン　ＡＤＲ,精密機器,NASDAQ,ADR,〇
ERIE,エリー　インデムニティー,保険業,NASDAQ,普通株式,〇
ERII,エナジー　リカバリー,機械,NASDAQ,普通株式,〇
ERNA,エルネクサ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ERO,エロ　コッパー,鉱業,NYSE,普通株式,〇
ERX,Ｄｉｒｅｘｉｏｎ　デイリー　エネルギー株　ブル２倍　ＥＴＦ,その他,NYSE_ARCA,ETF,
ERY,Ｄｉｒｅｘｉｏｎ　デイリー　エネルギー株　ベア２倍　ＥＴＦ,その他,NYSE_ARCA,ETF,
ES,エバーソース　エナジー,電気・ガス業,NYSE,普通株式,〇
ESAB,ＥＳＡＢ,機械,NYSE,普通株式,〇
ESCA,エスカレード,その他製品,NASDAQ,普通株式,〇
ESE,エスコ　テクノロジーズ,精密機器,NYSE,普通株式,〇
ESEA,ユーロシーズ,海運業,NASDAQ,普通株式,〇
ESGD,ｉシェアーズ　ＥＳＧ　アウェア　ＭＳＣＩ　ＥＡＦＥ　ＥＴＦ,その他,NASDAQ,ETF,〇
ESGE,ｉシェアーズ　ＥＳＧ　アウェア　ＭＳＣＩ　ＥＭ　ＥＴＦ,その他,NASDAQ,ETF,〇
ESGU,ｉシェアーズ　ＥＳＧ　アウェア　ＭＳＣＩ　米国　ＥＴＦ,その他,NASDAQ,ETF,〇
ESI,エレメント　ソリューションズ,化学,NYSE,普通株式,〇
ESLA,エストレラ　イミュノファーマ,医薬品,NASDAQ,普通株式,〇
ESLT,エルビット　システムズ,輸送用機器,NASDAQ,普通株式,〇
ESML,ｉシェアーズ　ＥＳＧ　アウェア　ＭＳＣＩ　米国小型株ＥＴＦ,その他,CBOE,ETF,〇
ESNT,エッセント　グループ,保険業,NYSE,普通株式,〇
ESOA,エナジー　サービシズ　オブ　アメリカ,建設業,NASDAQ,普通株式,〇
ESP,エスペイ　マニュファクチャリング　＆　エレクトロニクス,精密機器,AMEX,普通株式,〇
ESPR,エスペリオン　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ESQ,エスクワイア　ファイナンシャル　ホールディングス,銀行業,NASDAQ,普通株式,〇
ESTA,エスタブリッシュメント　ラボズ　ホールディングス,精密機器,NASDAQ,普通株式,〇
ESTC,エラスティック,サービス業,NYSE,普通株式,〇
ETD,イーサン　アレン　インテリアズ,その他製品,NYSE,普通株式,〇
ETN,イートン,機械,NYSE,普通株式,〇
ETON,イートン　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
ETOR,イートロ　グループ,証券、商品先物取引業,NASDAQ,普通株式,〇
ETR,エンタジー,電気・ガス業,NYSE,普通株式,〇
ETRL,グラナイトシェアーズ２倍ロング　ＥＴＯＲ　デイリーＥＴＦ,その他,NASDAQ,ETF,
ETSY,エッツィ,サービス業,NYSE,普通株式,〇
EU,エンコア　エナジー,鉱業,NASDAQ,普通株式,〇
EUDA,ユーダ　ヘルス　ホールディングス,サービス業,NASDAQ,普通株式,〇
EUDG,ウィズダムツリー　欧州株　クオリティ　配当成長　ファンド,その他,NYSE_ARCA,ETF,〇
EVAX,エバクシオン　Ａ／Ｓ,医薬品,NASDAQ,ADR,〇
EVC,エントラビジョン　コミュニケーションズ,情報・通信業,NYSE,普通株式,〇
EVCM,エバーコマース,サービス業,NASDAQ,普通株式,〇
EVER,エバークォート,サービス業,NASDAQ,普通株式,〇
EVEX,イブ　ホールディング,輸送用機器,NYSE,普通株式,〇
EVGN,エボジェン,化学,NASDAQ,普通株式,〇
EVGO,ＥＶゴー,小売業,NASDAQ,普通株式,〇
EVH,エボレント　ヘルス,サービス業,NYSE,普通株式,〇
EVI,ＥＶＩ　インダストリーズ,サービス業,AMEX,普通株式,〇
EVLV,エボルブ　テクノロジーズ　ホールディングス,精密機器,NASDAQ,普通株式,〇
EVMN,エボミューン,医薬品,NYSE,普通株式,〇
EVO,エボテック　ＡＤＲ,医薬品,NASDAQ,ADR,〇
EVR,エバコア,証券、商品先物取引業,NYSE,普通株式,〇
EVRG,エバジー,電気・ガス業,NASDAQ,普通株式,〇
EVTC,エバーテック,サービス業,NYSE,普通株式,〇
EVTL,バーティカル　エアロスペース,輸送用機器,NYSE,普通株式,〇
EW,エドワーズライフサイエンス,精密機器,NYSE,普通株式,〇
EWBC,イースト　ウエスト　バンコープ,銀行業,NASDAQ,普通株式,〇
EWCZ,ヨーロピアン　ワックス　センター,サービス業,NASDAQ,普通株式,〇
EWG,ｉシェアーズ　ＭＳＣＩ　ドイツ　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EWJ,ｉシェアーズ　ＭＳＣＩ　ジャパン　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EWM,ｉシェアーズ　ＭＳＣＩ　マレーシア　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EWS,ｉシェアーズ　ＭＳＣＩ　シンガポール　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EWT,ｉシェアーズ　ＭＳＣＩ　台湾　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EWTX,エッジワイズ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
EWW,ｉシェアーズ　ＭＳＣＩ　メキシコ　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EWY,ｉシェアーズ　ＭＳＣＩ　韓国　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EWZ,ｉシェアーズ　ＭＳＣＩ　ブラジル　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EXC,エクセロン,電気・ガス業,NASDAQ,普通株式,〇
EXE,エクスパンド　エナジー,鉱業,NASDAQ,普通株式,〇
EXEL,エクセリクス,医薬品,NASDAQ,普通株式,〇
EXFY,エクスペンシファイ,サービス業,NASDAQ,普通株式,〇
EXI,ｉシェアーズ　グローバル　資本財　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EXK,エンデバー　シルバー,鉱業,NYSE,普通株式,〇
EXLS,イーエックスエル　サービス　ホールディングス,サービス業,NASDAQ,普通株式,〇
EXOZ,エクソザイム,医薬品,NASDAQ,普通株式,〇
EXP,イーグル　マテリアルズ,ガラス・土石製品,NYSE,普通株式,〇
EXPD,エクスペディターズ　インターナショナル　オブ　ワシントン,倉庫・運輸関連業,NYSE,普通株式,〇
EXPE,エクスペディア　グループ,倉庫・運輸関連業,NASDAQ,普通株式,〇
EXPI,ｅＸｐ　ワールド　ホールディングス,不動産業,NASDAQ,普通株式,〇
EXPO,エクスポーネント,サービス業,NASDAQ,普通株式,〇
EXTR,エクストリーム　ネットワークス,精密機器,NASDAQ,普通株式,〇
EYE,ナショナル　ヴィジョン　ホールディングス,精密機器,NASDAQ,普通株式,〇
EYPT,アイポイント,精密機器,NASDAQ,普通株式,〇
EZA,ｉシェアーズ　ＭＳＣＩ　南アフリカ　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
EZGO,ＥＺＧＯ　テクノロジーズ,輸送用機器,NASDAQ,普通株式,〇
EZPW,イージーコープ,小売業,NASDAQ,普通株式,〇
EZRA,リライアンス　グローバル　グループ,保険業,NASDAQ,普通株式,〇
F,フォード　モーター,輸送用機器,NYSE,普通株式,〇
FA,ファースト　アドバンテージ,サービス業,NASDAQ,普通株式,〇
FAF,ファースト　アメリカン　ファイナンシャル,保険業,NYSE,普通株式,〇
FAI,ファーストトラスト　ブルームバーク　人工知能ＥＴＦ,その他,NYSE_ARCA,ETF,〇
FALN,ｉシェアーズ　米ドル建てフォーリン・エンジェル債券　ＥＴＦ,その他,NASDAQ,ETF,
FAMI,ファーミ,食料品,NASDAQ,普通株式,〇
FAN,ファーストトラスト　グローバル　ウィンド　エネルギーＥＴＦ,その他,NYSE_ARCA,ETF,
FANG,ダイヤモンドバック　エナジー,鉱業,NASDAQ,普通株式,〇
FARM,ファーマー　ブラザーズ,食料品,NASDAQ,普通株式,〇
FAS,Ｄｉｒｅｘｉｏｎ　デイリー　米国金融株　ブル３倍　ＥＴＦ,その他,NYSE_ARCA,ETF,
FAST,ファスナル,小売業,NASDAQ,普通株式,〇
FATE,フェイト　セラピューティクス,医薬品,NASDAQ,普通株式,〇
FATN,ファットパイプ,サービス業,NASDAQ,普通株式,〇
FAUG,ＦＴ　Ｖｅｓｔ　米国株　バッファー　ＥＴＦ　－　８月,その他,CBOE,ETF,
FAZ,Ｄｉｒｅｘｉｏｎ　デイリー　金融株　ベア３倍　ＥＴＦ,その他,NYSE_ARCA,ETF,
FBGL,ＦＢＳグローバル,建設業,NASDAQ,普通株式,〇
FBIN,フォーチュンブランズイノベーションズ,その他製品,NYSE,普通株式,〇
FBIO,フォートレス　バイオテック,医薬品,NASDAQ,普通株式,〇
FBIZ,ファースト　ビジネス　ファイナンシャル　サービシズ,銀行業,NASDAQ,普通株式,〇
FBK,ＦＢ　ファイナンシャル,銀行業,NYSE,普通株式,〇
FBL,グラナイトシェアーズ　２倍　ロング　ＭＥＴＡ　デイリー　ＥＴＦ,その他,NASDAQ,ETF,
FBLA,ＦＢ　バンコープ,銀行業,NASDAQ,普通株式,〇
FBLG,ファイブロバイオロジクス,医薬品,NASDAQ,普通株式,〇
FBNC,ファースト　バンコープ,銀行業,NASDAQ,普通株式,〇
FBP,ファースト　バンコープ,銀行業,NYSE,普通株式,〇
FBRX,フォルテ　バイオサイエンシズ,医薬品,NASDAQ,普通株式,〇
FBT,ファーストトラスト　ＮＹＳＥ　Ａｒｃａ　バイオテクノロジー指数ファンド,その他,NYSE_ARCA,ETF,〇
FBYD,ファルコンズ　ビヨンド　グローバル,サービス業,NASDAQ,普通株式,〇
FBYY,グラナイトシェアーズ　イールドブースト　ＭＥＴＡ　ＥＴＦ,その他,NASDAQ,ETF,
FC,フランクリン　コヴィー,サービス業,NYSE,普通株式,〇
FCAP,ファースト　キャピタル,銀行業,NASDAQ,普通株式,〇
FCBC,ファースト　コミュニティ　バンクシェアーズ,銀行業,NASDAQ,普通株式,〇
FCCO,ファースト　コミュニティー,銀行業,NASDAQ,普通株式,〇
FCEL,フュエルセル　エナジー,電気機器,NASDAQ,普通株式,〇
FCF,ファースト　コモンウェルス　ファイナンシャル,銀行業,NYSE,普通株式,〇
FCFS,ファーストキャッシュ　ホールディングス,小売業,NASDAQ,普通株式,〇
FCN,ＦＴＩ　コンサルティング,サービス業,NYSE,普通株式,〇
FCNCA,ファースト　シチズンズ　バンクシェアーズ,銀行業,NASDAQ,普通株式,〇
FCUV,フォーカス　ユニバーサル,精密機器,NASDAQ,普通株式,〇
FCVT,ファーストトラスト　ＳＳＩ　ストラテジック転換証券ＥＴＦ,その他,NASDAQ,ETF,
FCX,フリーポート　マクモラン,鉱業,NYSE,普通株式,〇
FDBC,フィデリティー　Ｄ　＆　Ｄ　バンコープ,銀行業,NASDAQ,普通株式,〇
FDD,ファーストトラスト　ＳＴＯＸＸ欧州セレクト配当指数ファンド,その他,NYSE_ARCA,ETF,〇
FDL,ファーストトラスト　モーニングスター　配当リーダーズ指数ファンド,その他,NYSE_ARCA,ETF,〇
FDM,ファーストトラスト　ダウ・ジョーンズ・セレクト超小型株指数ファンド,その他,NYSE_ARCA,ETF,〇
FDMT,４Ｄ　モレキュラー　セラピューティクス,医薬品,NASDAQ,普通株式,〇
FDN,ファーストトラスト　ダウ・ジョーンズ　インターネット指数ファンド,その他,NYSE_ARCA,ETF,〇
FDNI,ファーストトラスト　ダウ・ジョーンズ　インターナショナル　インターネットＥＴＦ,その他,NASDAQ,ETF,〇
FDP,フレッシュ　デル　モンテ　プロデュース,水産・農林業,NYSE,普通株式,〇
FDS,ファクトセット　リサーチ　システムズ,サービス業,NYSE,普通株式,〇
FDSB,フィフス　ディストリクト　バンコープ,銀行業,NASDAQ,普通株式,〇
FDX,フェデックス,空運業,NYSE,普通株式,〇
FE,ファーストエナジー,電気・ガス業,NYSE,普通株式,〇
FEAM,５Ｅ　アドバンスト　マテリアルズ,鉱業,NASDAQ,普通株式,〇
FEBO,フェンボー　ホールディングス,電気機器,NASDAQ,普通株式,〇
FEED,ＥＮｖｕｅメディカル,精密機器,NASDAQ,普通株式,〇
FEIM,フレクエンシー　エレクトロニクス,精密機器,NASDAQ,普通株式,〇
FELE,フランクリン　エレクトリック,電気機器,NASDAQ,普通株式,〇
FEMB,ファーストトラスト　新興国現地通貨建て債券ＥＴＦ,その他,NASDAQ,ETF,〇
FEMY,フェマシス,精密機器,NASDAQ,普通株式,〇
FENC,フェネック　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
FEPI,ＲＥＸ　ＦＡＮＧ＆イノベーションエクイティインカムＥＴＦ,その他,NASDAQ,ETF,
FERG,ファーガソン　エンタープライズ,卸売業,NYSE,普通株式,〇
FET,フォーラム　エナジー　テクノロジーズ,機械,NYSE,普通株式,〇
FEZ,ステート・ストリートＳＰＤＲユーロ・ストックス５０ＥＴＦ,その他,NYSE_ARCA,ETF,〇
FF,フューチャーフューエル,化学,NYSE,普通株式,〇
FFAI,ファラデー　フューチャー　インテリジェント　エレクトリック,輸送用機器,NASDAQ,普通株式,〇
FFBC,ファースト　ファイナンシャル　バンコープ,銀行業,NASDAQ,普通株式,〇
FFEB,ＦＴ　Ｖｅｓｔ　米国株　バッファー　ＥＴＦ－　２月,その他,CBOE,ETF,
FFIC,フラッシング　ファイナンシャル,銀行業,NASDAQ,普通株式,〇
FFIN,ファースト　ファイナンシャル　バンクシェアーズ,銀行業,NASDAQ,普通株式,〇
FFIV,Ｆ５,精密機器,NASDAQ,普通株式,〇
FG,Ｆ＆Ｇアニュイティーズ＆ライフ,保険業,NYSE,普通株式,〇
FGBI,ファースト　ギャランティー　バンクシェアーズ,銀行業,NASDAQ,普通株式,〇
FGD,ファーストトラスト　ダウ・ジョーンズ　グローバルセレクト配当指数ファンド,その他,NYSE_ARCA,ETF,〇
FGI,ＦＧＩ　インダストリーズ,金属製品,NASDAQ,普通株式,〇
FGL,ファウンダー・グループ,電気機器,NASDAQ,普通株式,〇
FGNX,ＦＧ　Ｎｅｘｕｓ,保険業,NASDAQ,普通株式,〇
FHB,ファースト　ハワイアン,銀行業,NASDAQ,普通株式,〇
FHI,フェデレーテッド　ハーミーズ,証券、商品先物取引業,NYSE,普通株式,〇
FHN,ファースト　ホライズン,銀行業,NYSE,普通株式,〇
FHTX,フォグホーン　セラピューティクス,医薬品,NASDAQ,普通株式,〇
FIBK,ファースト　インターステート　バンクシステム,銀行業,NASDAQ,普通株式,〇
FICO,フェア　アイザック,サービス業,NYSE,普通株式,〇
FID,ファーストトラスト　Ｓ＆Ｐインターナショナル配当貴族ＥＴＦ,その他,NASDAQ,ETF,〇
FIG,フィグマ,サービス業,NYSE,普通株式,〇
FIGR,フィギュア・テクノロジー・ソリューションズ,その他金融業,NASDAQ,普通株式,〇
FIGS,フィグス,繊維製品,NYSE,普通株式,〇
FIHL,フィデリス　インシュアランス　ホールディングス,保険業,NYSE,普通株式,〇
FINV,信也科技（フィンボリューション　グループ）　ＡＤＲ,その他金融業,NYSE,ADR,〇
FINW,フィンワイズ　バンコープ,銀行業,NASDAQ,普通株式,〇
FINX,グローバルＸ　フィンテック　ＥＴＦ,その他,NASDAQ,ETF,〇
FIP,ＦＴＡＩ　インフラストラクチャ,卸売業,NASDAQ,普通株式,〇
FIS,フィデリティナショナルインフォメーションサービス,サービス業,NYSE,普通株式,〇
FISI,ファイナンシャル　インスティテューションズ,銀行業,NASDAQ,普通株式,〇
FISV,ファイサーブ,サービス業,NASDAQ,普通株式,〇
FITB,フィフス　サード　バンコープ,銀行業,NASDAQ,普通株式,〇
FIVE,ファイブ　ビロウ,小売業,NASDAQ,普通株式,〇
FIVN,ファイブ９,サービス業,NASDAQ,普通株式,〇
FIW,ファーストトラスト　ウォーターＥＴＦ,その他,NYSE_ARCA,ETF,〇
FIX,コンフォート　システムズ　ＵＳＡ,建設業,NYSE,普通株式,〇
FIXD,ファースト・トラスト　スミス　オポチュニスティック債券ＥＴＦ,その他,NASDAQ,ETF,
FIZZ,ナショナル　ビバレッジ,食料品,NASDAQ,普通株式,〇
FJET,スターファイターズ　スペース,空運業,AMEX,普通株式,〇
FKWL,フランクリン　ワイヤレス,精密機器,NASDAQ,普通株式,〇
FLEX,フレックス,精密機器,NASDAQ,普通株式,〇
FLG,フラッグスター　バンク,銀行業,NYSE,普通株式,〇
FLGT,フルジェント　ジェネティクス,サービス業,NASDAQ,普通株式,〇
FLL,フル　ハウス　リゾーツ,サービス業,NASDAQ,普通株式,〇
FLNA,フィラナ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
FLNC,フルーエンス　エナジー,精密機器,NASDAQ,普通株式,〇
FLNG,フレックス　ＬＮＧ,海運業,NYSE,普通株式,〇
FLNT,フルーエント,サービス業,NASDAQ,普通株式,〇
FLO,フラワーズ　フーズ,食料品,NYSE,普通株式,〇
FLOC,フローコ　ホールディングス,機械,NYSE,普通株式,〇
FLOW,グローバルＸ　米国キャッシュフローキング　ＥＴＦ,その他,NYSE_ARCA,ETF,
FLR,フルアー,建設業,NYSE,普通株式,〇
FLRN,ステート・ストリートＳＰＤＲ　ブルームバーグ投資適格変動金利,その他,NYSE_ARCA,ETF,
FLS,フローサーブ,機械,NYSE,普通株式,〇
FLUT,フラッター　エンターテインメント,サービス業,NYSE,普通株式,〇
FLUX,フラックス　パワー　ホールディングス,精密機器,NASDAQ,普通株式,〇
FLWS,１－８００－フラワーズ　ドットコム,小売業,NASDAQ,普通株式,〇
FLXS,フレックススチール　インダストリーズ,その他製品,NASDAQ,普通株式,〇
FLY,ファイアフライ・エアロスペース,輸送用機器,NASDAQ,普通株式,〇
FLYW,フライワイヤー,サービス業,NASDAQ,普通株式,〇
FLYX,フライエクスクルーシブ,空運業,AMEX,普通株式,〇
FMAO,ファーマーズ＆マーチャンツ　バンコープ,銀行業,NASDAQ,普通株式,〇
FMAY,ＦＴ　Ｖｅｓｔ　米国株　バッファー　ＥＴＦ　－　５月,その他,CBOE,ETF,
FMBH,ファースト　ミッド　バンクシェアーズ,銀行業,NASDAQ,普通株式,〇
FMC,ＦＭＣ,化学,NYSE,普通株式,〇
FMNB,ファーマーズ　ナショナル　バンク,銀行業,NASDAQ,普通株式,〇
FMS,フレセニアス　メディカル　ケア,サービス業,NYSE,ADR,〇
FMX,フォメント　エコノミコ　メヒカノ（ＦＥＭＳＡ）　ＡＤＲ,食料品,NYSE,ADR,〇
FN,ファブリネット,精密機器,NYSE,普通株式,〇
FNB,Ｆ．Ｎ．Ｂ．,銀行業,NYSE,普通株式,〇
FND,フロア＆　デコア,小売業,NYSE,普通株式,〇
FNF,フィデリティ　ナショナル　ファイナンシャル,保険業,NYSE,普通株式,〇
FNGG,Ｄｉｒｅｘｉｏｎ　デイリー　ＮＹＳＥＦＡＮＧ＋ブル２倍ＥＴＦ,その他,NYSE_ARCA,ETF,
FNGR,フィンガーモーション,サービス業,NASDAQ,普通株式,〇
FNKO,ファンコ,その他製品,NASDAQ,普通株式,〇
FNLC,ファースト　バンコープ,銀行業,NASDAQ,普通株式,〇
FNOV,ＦＴ　Ｖｅｓｔ　米国株　バッファー　ＥＴＦ　－　１１月,その他,CBOE,ETF,
FNUC,フロンティア　ニュークリア　アンド　ミネラルズ,鉱業,NASDAQ,普通株式,〇
FNV,フランコ－ネバダ,鉱業,NYSE,普通株式,〇
